naId,title,start_date,end_date,nara_url,num_images,has_pdf,num_total_objects,pdf_url
169794942,Log of U.S.S. SWATARA: 4/3/1886-10/8/1886,,,https://catalog.archives.gov/id/169794942,197,True,198,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-swatara-053/581208-swatara-053.pdf
169793732,Log of U.S.S. SWATARA: 2/20/1883-8/27/1883,,,https://catalog.archives.gov/id/169793732,203,True,204,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-swatara-047/581208-swatara-047.pdf
169790974,Log of U.S.S. SWATARA: 6/13/1875-12/31/1875,,,https://catalog.archives.gov/id/169790974,225,True,226,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-swatara-027/581208-swatara-027.pdf
169790152,Log of U.S.S. SWATARA: 12/17/1870-7/2/1871,,,https://catalog.archives.gov/id/169790152,209,True,210,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-swatara-020/581208-swatara-020.pdf
169789334,Log of U.S.S. SWATARA: 7/1/1868-12/31/1868,,,https://catalog.archives.gov/id/169789334,201,True,202,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-swatara-011/581208-swatara-011.pdf
169789138,Log of U.S.S. SWATARA: 1/1/1868-6/30/1868,,,https://catalog.archives.gov/id/169789138,194,True,195,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-swatara-010/581208-swatara-010.pdf
169788423,Log of U.S.S. SWATARA: 11/15/1865-6/30/1866,,,https://catalog.archives.gov/id/169788423,119,True,120,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-swatara-001/581208-swatara-001.pdf
169786931,Log of U.S.S. SHENANDOAH: 11/5/1883-5/5/1884,,,https://catalog.archives.gov/id/169786931,273,True,274,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-034/581208-shenandoah-034.pdf
169784815,Log of U.S.S. SHENANDOAH: 9/15/1871-4/2/1872,,,https://catalog.archives.gov/id/169784815,229,True,230,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-020/581208-shenandoah-020.pdf
169783993,Log of U.S.S. SHENANDOAH: 6/14/1868-12/18/1868,,,https://catalog.archives.gov/id/169783993,199,True,200,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-012/581208-shenandoah-012.pdf
169783797,Log of U.S.S. SHENANDOAH: 7/1/1867-12/31/1867,,,https://catalog.archives.gov/id/169783797,194,True,195,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-008/581208-shenandoah-008.pdf
169783603,Log of U.S.S. SHENANDOAH: 1/1/1867-6/30/1867,,,https://catalog.archives.gov/id/169783603,192,True,193,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-007/581208-shenandoah-007.pdf
169782730,Log of U.S.S. SEVERN: 3/18/1871-9/30/1871,,,https://catalog.archives.gov/id/169782730,206,True,207,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-severn-007/581208-severn-007.pdf
169781675,Log of U.S.S. SEMINOLE: 4/22/1869-10/27/1869,,,https://catalog.archives.gov/id/169781675,201,True,202,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-seminole-006/581208-seminole-006.pdf
169777440,Log of U.S.S. SARANAC: 6/8/1863-6/15/1864,,,https://catalog.archives.gov/id/169777440,190,True,191,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-saranac-013/581208-saranac-013.pdf
169776948,Log of U.S.S. SARANAC: 10/21/1860-10/31/1861,,,https://catalog.archives.gov/id/169776948,193,True,194,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-saranac-011/581208-saranac-011.pdf
169772482,Log of U.S.S. RESACA: 4/18/1867-10/20/1867,,,https://catalog.archives.gov/id/169772482,195,True,196,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-resaca-005/581208-resaca-005.pdf
169772228,Log of U.S.S. PLYMOUTH: 2/29/1860-6/26/1860,,,https://catalog.archives.gov/id/169772228,36,True,37,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-plymouth-013/581208-plymouth-013.pdf
169754443,Log of U.S.S. HARTFORD: 1918,,,https://catalog.archives.gov/id/169754443,571,True,572,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-hartford-b003/581208-hartford-b003.pdf
199998153,Log of U.S.S. HARTFORD: 1917,,,https://catalog.archives.gov/id/199998153,525,True,526,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2021-01/581208-hartford-b002/581208-hartford-b002.pdf
